['GOVERNMENT ORDERS'], 312963
['Government Orders'], 291917
['ORAL QUESTION PERIOD'], 279775
[nan], 181920
['Oral Questions'], 129748
['SUPPLY.'], 128928
['Oral Question Period'], 118215
['ROUTINE PROCEEDINGS'], 99781
['QUESTIONS'], 98144
['Routine Proceedings'], 82829
['QUESTIONS.'], 68597
['WAYS AND MEANS'], 67823
['Statements By Members'], 43816
['EXTERNAL AFFAIRS'], 40814
["Private Members' Business"], 34426
['BUSINESS OF THE HOUSE'], 31508
['THE BUDGET'], 30536
['PROCEEDINGS ON ADJOURNMENT MOTION'], 23218
['SPEECH FROM THE THRONE'], 23197
['DEPARTMENT OF AGRICULTURE'], 21387
['QUESTIONS PASSED AS ORDERS FOR RETURNS'], 16136
['DEPARTMENT OF PUBLIC WORKS'], 15754
['Adjournment Proceedings'], 15181
['NATIONAL DEFENCE'], 13130
['INTERIM SUPPLY'], 12868
['POST OFFICE DEPARTMENT'], 12740
['QUESTIONS ON THE ORDER PAPER'], 12559
['CANADIAN NATIONAL RAILWAYS'], 12429
['LABOUR CONDITIONS'], 12281
['EDITION'], 12105
["GOVERNOR GENERAL'S SPEECH"], 11855
['FINANCE'], 11709
['PRIVATE BILLS'], 11543
['DEPARTMENT OF NATIONAL DEFENCE'], 11372
['PRIVILEGE'], 11280
['INCOME WAR TAX ACT'], 11076
['AGRICULTURE'], 11064
['DEPARTMENT OF TRANSPORT'], 10988
['CRIMINAL CODE'], 9969
['WAR APPROPRIATION BILL'], 9446
['I960'], 8602
['INCOME TAX ACT'], 8403
['CANADIAN WHEAT BOARD ACT'], 8170
['DEPARTMENT OF TRADE AND COMMERCE'], 8085
['DEPARTMENT OF LABOUR'], 7641
['MUNITIONS AND SUPPLY'], 5871
['UNEMPLOYMENT INSURANCE'], 5700
['ADMINISTRATION OF JUSTICE'], 5660
['TRANSPORT'], 5652
['DEPARTMENT OF FINANCE'], 5585
['UNEMPLOYMENT AND FARM RELIEF'], 5434
['CANADIAN FLAG'], 5420
['REDISTRIBUTION'], 5413
['PENSIONS'], 5413
['WAYS AND MEANS-THE BUDGET.'], 5383
['HOUSING'], 5214
['IMMIGRATION'], 5026
['NATIONAL HOUSING ACT'], 4981
['DEPARTMENT OF JUSTICE'], 4966
['INDUSTRY'], 4956
['BROADCASTING'], 4562
['HEALTH AND WELFARE'], 4496
['FISHERIES'], 4410
['COMBINES INVESTIGATION ACT'], 4405
['EMERGENCY POWERS'], 4337
['CANADIAN BROADCASTING CORPORATION'], 4313
['ROYAL CANADIAN MOUNTED POLICE'], 4289
['DEPARTMENT OF NATIONAL HEALTH AND WELFARE'], 4257
['THE ROYAL ASSENT'], 4119
['Statements by Members'], 4065
['UNEMPLOYMENT RELIEF'], 4030
['UNITED NATIONS'], 3954
['INDIAN AFFAIRS'], 3909
['PUBLIC WORKS'], 3873
['TRADE AND COMMERCE'], 3804
['DEPARTMENT OF DEFENCE PRODUCTION'], 3785
['PUBLIC SERVICE'], 3772
['MOTIONS FOR PAPERS'], 3740
['Speech from the Throne'], 3655
['DEPARTMENT OF NORTHERN AFFAIRS AND NATIONAL RESOURCES'], 3593
['SPECIAL WAR REVENUE ACT'], 3573
['MARKETING ACT'], 3555
['NORTHERN ONTARIO PIPE LINE CORPORATION'], 3552
['DEFENCE PRODUCTION ACT'], 3548
['OLD AGE PENSIONS'], 3511
['UNEMPLOYMENT INSURANCE ACT'], 3467
['Emergency Debate'], 3442
['AIR TRANSPORT'], 3396
["PRIVATE MEMBERS' BUSINESS"], 3387
['THE CANADIAN ECONOMY'], 3367
['STATEMENTS PURSUANT TO S.O. 21'], 3352
['BANK OF CANADA'], 3344
['POINT OF ORDER'], 3327
['DEPARTMENT OF MUNITIONS AND SUPPLY'], 3326
['CUSTOMS TARIFF'], 3276
['DEPARTMENT OF FISHERIES'], 3258
['DEPARTMENT OP AGRICULTURE'], 3198
['LABOUR RELATIONS'], 3197
['INCOME TAX'], 3192
['VETERANS AFFAIRS'], 3044
['UNEMPLOYMENT'], 3024
['INDUSTRIAL RELATIONS'], 3009
