% 1. Title: statistics
%
% 2. Sources:
%      (a) Creator: visit-the-dome
%      (b) Date:    2019-06-17
%      (c) Corpus:  data/debatepedia/split/training
%

@RELATION  ArgumentativeDiscourseUnit-unitType

@ATTRIBUTE ContentLength_characters  NUMERIC
@ATTRIBUTE ContentLength_tokens  NUMERIC
@ATTRIBUTE class  {conclusion,premise}

@DATA
{0 0.08416, 1 0.05446, 2 conclusion}
{0 0.45421, 1 0.34158, 2 premise}
{0 0.17574, 1 0.12376, 2 premise}
{0 0.07302, 1 0.05446, 2 conclusion}
{0 0.17574, 1 0.14356, 2 premise}
{0 0.17822, 1 0.16832, 2 premise}
{0 0.20792, 1 0.17822, 2 premise}
{0 0.06064, 1 0.04455, 2 conclusion}
{0 0.1349, 1 0.10396, 2 premise}
{0 0.06683, 1 0.05941, 2 premise}
{0 0.0495, 1 0.02475, 2 conclusion}
{0 0.54084, 1 0.40099, 2 premise}
{0 0.17698, 1 0.13366, 2 premise}
{0 0.13119, 1 0.10396, 2 premise}
{0 0.13985, 1 0.10396, 2 premise}
{0 0.12995, 1 0.10891, 2 premise}
{0 0.18564, 1 0.15842, 2 premise}
{0 0.06807, 1 0.05446, 2 conclusion}
{0 0.23144, 1 0.17327, 2 premise}
{0 0.06931, 1 0.0495, 2 premise}
{0 0.13119, 1 0.09901, 2 premise}
{0 0.17698, 1 0.10891, 2 premise}
{0 0.03837, 1 0.0297, 2 conclusion}
{0 0.06931, 1 0.05941, 2 premise}
{0 0.06683, 1 0.05446, 2 premise}
{0 0.07797, 1 0.06931, 2 conclusion}
{0 0.125, 1 0.09901, 2 premise}
{0 0.05941, 1 0.04455, 2 premise}
{0 0.17946, 1 0.13366, 2 premise}
{0 0.23144, 1 0.16832, 2 premise}
{0 0.25743, 1 0.18317, 2 premise}
{0 0.17327, 1 0.13366, 2 premise}
{0 0.08416, 1 0.05941, 2 conclusion}
{0 0.36139, 1 0.31683, 2 premise}
{0 0.06807, 1 0.05941, 2 premise}
{0 0.16955, 1 0.12376, 2 premise}
{0 0.05693, 1 0.06436, 2 premise}
{0 0.0854, 1 0.05941, 2 premise}
{0 0.12624, 1 0.11881, 2 premise}
{0 0.0854, 1 0.0495, 2 premise}
{0 0.11262, 1 0.09406, 2 premise}
{0 0.18564, 1 0.15347, 2 premise}
{0 0.07921, 1 0.08911, 2 conclusion}
{0 0.10025, 1 0.08416, 2 conclusion}
{0 0.09158, 1 0.08416, 2 premise}
{0 0.09653, 1 0.07426, 2 premise}
{0 0.06064, 1 0.0396, 2 conclusion}
{0 0.10891, 1 0.07921, 2 premise}
{0 0.14604, 1 0.09406, 2 premise}
