argument_id|topic|unitType|content
0| $700 billion US economic bailout|conclusion|Not passing $700b bailout risks sending economy into major recession.
0| $700 billion US economic bailout|premise|U.
1| $700 billion US economic bailout|conclusion|$700b bailout helps avoid widespread bankruptcies/layoffs.
1| $700 billion US economic bailout|premise|"""Job security: Safeguarding jobs across the economy and preventing bankruptcies that 'threaten American families' financial well-being' according to US Treasury Secretary Henry Paulson."
2| $700 billion US economic bailout|conclusion|$700b bailout is generally well designed to solve US economic crisis.
2| $700 billion US economic bailout|premise|"Treasury Secretary Henry Paulson summarized the rationale for the bailout in Testimony before the US Senate - ""This troubled asset relief program has to be properly designed for immediate implementation and be sufficiently large to have maximum impact and restore market confidence."
3| $700 billion US economic bailout|conclusion|$700b bailout offers buyer for frozen mortgages.
3| $700 billion US economic bailout|premise|"""Paulson Plan provides a plan Just as optimism in times of growth encourages an upward trend, pessimism in uncertain times can feed a downward trend."
4| $700 billion US economic bailout|conclusion|Most economists support the $700b US economic bailout plan.
4| $700 billion US economic bailout|premise|"""The Treasury proposal to rescue the financial system has gotten a lot of grief lately, especially from the community of economics professors."
5| $700 billion US economic bailout|conclusion|$700b bailout is important to stabilize volatile global markets.
5| $700 billion US economic bailout|premise|"""Global financial stability: the plan is aimed at bringing calm to an extremely volatile global financial system."
6| $700 billion US economic bailout|conclusion|US economic crisis is not that bad.
6| $700 billion US economic bailout|premise|"""We are experiencing ""the greatest financial crisis since the Great Depression""!."
7| $700 billion US economic bailout|conclusion|$700 billion bailout plan is too little too late.
7| $700 billion US economic bailout|premise|"""Proposed $700 Billion Bailout Is Too Little, Too Late to End the Debt Crisis; Too Much, Too Soon for the U."
8| $700 billion US economic bailout|conclusion|$700b bailout would increase US deficit and interest rates.
8| $700 billion US economic bailout|premise|"""Proposed $700 Billion Bailout Is Too Little, Too Late to End the Debt Crisis; Too Much, Too Soon for the U."
9| $700 billion US economic bailout|conclusion|$700 bailout wrongly trusts culprits to solve crisis.
9| $700 billion US economic bailout|premise|"""there's little stomach for bailing out what essentially turned into a Ponzi scheme backed by the largest players in the financial industry."
10| $700 billion US economic bailout|conclusion|No assurances that a $700b bailout would work.
10| $700 billion US economic bailout|premise|Sen.
11| $700 billion US economic bailout|conclusion|$700b bailout must be implemented immediately to avoid crisis.
11| $700 billion US economic bailout|premise|Rep.
12| $700 billion US economic bailout|conclusion|$700 it is more important to pass a plan than for it to be perfect.
12| $700 billion US economic bailout|premise|Many critics of the $700 billion bailout argue that there are problems with the bill, and that little things here and there should be added.
13| $700 billion US economic bailout|conclusion|Advocates are fear-mongering to ram through $700b plan.
13| $700 billion US economic bailout|premise|"""Isn't anybody going to stop these people? Many of us bought into the Weapons of Mass Destruction line of bull, and see where that got us."
14| $700 billion US economic bailout|conclusion|A good solution to the US economic crisis cannot be rushed.
14| $700 billion US economic bailout|premise|Sen.
15| $700 billion US economic bailout|conclusion|$700b bailout is consistent with US government interventionism.
