Unnamed: 0,basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl,speechtext_without_cliche
12609,4128088,ca.proc.d.1999-06-09.632.1,09-06-1999,4f96c1bc-512c-4a39-b653-da4a175e6426,4675,"Mr. Mac Harb (Ottawa Centre, Lib.)",,Statements By Members,Saudi Arabia,,"Mr. Speaker, this year marks the centennial anniversary of the proclamation of the Kingdom of Saudi Arabia.

The leadership, vision and commitment of the Government of Saudi Arabia and its people have created a society where education, economic development and diversification have become priorities.

The development of infrastructure and the petrochemical industry have transformed a barren land into one of the most advanced nations of the world. The Saudi Arabian people have built a moderate nation that is dedicated to promoting peace and stability.

On behalf of my colleagues and all Canadians, I ask His Excellency Dr. Mohammed Al-Hussaini, the Ambassador of Saudi Arabia, to extend our warmest congratulations to the Government of Saudi Arabia and its people, the people of this exceptional nation. I would like to wish them a happy anniversary.",Liberal,Ottawa Centre,Mac Harb,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=4f96c1bc-512c-4a39-b653-da4a175e6426&Language=E&Section=ALL,"this year marks the centennial anniversary of the proclamation of the Kingdom of Saudi Arabia. The leadership, vision and commitment of the Government of Saudi Arabia and its people have created a society where education, economic development and diversification have become priorities. The development of infrastructure and the petrochemical industry have transformed a barren land into one of the most advanced nations of the world. The Saudi Arabian people have built a moderate nation that is dedicated to promoting peace and stability. On behalf of my colleagues and all Canadians, I ask His Excellency Dr. Mohammed Al-Hussaini, the Ambassador of Saudi Arabia, to extend our warmest congratulations to the Government of Saudi Arabia and its people, the people of this exceptional nation. I would like to wish them a happy anniversary."
29131,4470500,ca.proc.d.2010-11-19.2319.47,19-11-2010,28eb8079-dada-4810-991a-a5137e0b2366,565,"Mr. Jean Dorion (Longueuil—Pierre-Boucher, BQ)",,Statements By Members,Saudi Arabia,,"Mr. Speaker, on November 10, UN Women elected its first executive board. This new agency “will work...to improve the status of women and girls”, said United Nations Deputy Secretary-General Asha-Rose Migiro. This entity, charged with ensuring that the UN's commitments to establish gender equality within its institutions are kept, is a competent authority among member states for bringing about this equality.

It is troubling to see that Saudi Arabia has a seat on this executive board. The customs and traditions of that country infringe on women's rights daily. It is a country where Nathalie Morin, a Quebecker, is stuck and being held prisoner, along with her children.

If Saudi Arabia wants to demonstrate its desire for equality and justice between men and women, then its authorities have to take the first concrete step and let Nathalie Morin and her children return to Quebec.",Bloc Québécois,Longueuil--Pierre-Boucher,Jean Dorion,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=28eb8079-dada-4810-991a-a5137e0b2366&Language=E&Section=ALL,"on November 10, UN Women elected its first executive board. This new agency “will work...to improve the status of women and girls”, said United Nations Deputy Secretary-General Asha-Rose Migiro. This entity, charged with ensuring that the UN's commitments to establish gender equality within its institutions are kept, is a competent authority among member states for bringing about this equality. It is troubling to see that Saudi Arabia has a seat on this executive board. The customs and traditions of that country infringe on women's rights daily. It is a country where Nathalie Morin, a Quebecker, is stuck and being held prisoner, along with her children. If Saudi Arabia wants to demonstrate its desire for equality and justice between men and women, then its authorities have to take the first concrete step and let Nathalie Morin and her children return to Quebec."
9646,4081704,ca.proc.d.1998-03-23.714.55,23-03-1998,c0377f5d-9a2b-4831-919c-8f5553270c2c,186,"Mr. Keith Martin (Esquimalt—Juan de Fuca, Ref.)",,Statements By Members,Racism,,"Mr. Speaker, if equality is the ultimate goal that a civil society aspires to, then racism is its implacable foe.

Canadians have struggled and fought hard against the vile enemy of social cohesion and although we have been enormously successful in integrating almost 200 different nationalities, we are far from perfect.

The ghettoization in large centres, the enormous difficulties aboriginal people face in integrating into Canadian society, the politically correct reverse discrimination that occurs still demonstrate that much needs to be done.

We must continue to enforce laws that penalize the purveyors of racism, ensure that racism labels are never falsely used, strengthen the level playing field where opportunities exist and the responsibility to take advantage of those opportunities rests with the individual, and that people are judged on their merit and not on the colour of their skin.

On this international day of elimination of racial discrimination I would like to thank Canada for the opportunity that Canada has given to me to be judged not on the colour of my skin but on my abilities.",Reform,Esquimalt--Juan de Fuca,Keith Martin,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=c0377f5d-9a2b-4831-919c-8f5553270c2c&Language=E&Section=ALL,"if equality is the ultimate goal that a civil society aspires to, then racism is its implacable foe. Canadians have struggled and fought hard against the vile enemy of social cohesion and although we have been enormously successful in integrating almost 200 different nationalities, we are far from perfect. The ghettoization in large centres, the enormous difficulties aboriginal people face in integrating into Canadian society, the politically correct reverse discrimination that occurs still demonstrate that much needs to be done. We must continue to enforce laws that penalize the purveyors of racism, ensure that racism labels are never falsely used, strengthen the level playing field where opportunities exist and the responsibility to take advantage of those opportunities rests with the individual, and that people are judged on their merit and not on the colour of their skin. On this international day of elimination of racial discrimination I would like to thank Canada for the opportunity that Canada has given to me to be judged not on the colour of my skin but on my abilities."
32634,4517635,ca.proc.d.2012-03-29.3077.115,29-03-2012,a710e2c4-20f9-4df8-ba6c-2dc50c03bb75,8517,"Ms. Marjolaine Boutin-Sweet (Hochelaga, NDP)",,Statements By Members,Prostitution,,"Mr. Speaker, prostitution is not a career choice. Many women get involved in prostitution to feed their drug addiction. Fines and prison are not the solution to drug-related prostitution. Prevention is better than repression. We have to address the problem at its source. In other words, we have to address substance abuse and addiction.

That is what a number of groups and elected officials are trying to do in Hochelaga. The community organization Dopamine, which works in addictions services, wants to relocate to a neighbourhood where the need for its services is greatest. A respite care centre would be set up at Dopamine's former location where prostitutes could go to shower and sleep, and get help when they are ready to get out of the business.

However, despite the recommendation of the Agence de santé de Montréal, the application to the Homelessness Partnering Strategy to relocate Dopamine has been dragging on for months. What is more, I have received no response to the letter I sent to the Minister of Human Resources explaining this increasingly critical situation.

I hope to receive a positive response soon and I hope that the budget tabled a little later on will not abandon these people who feel increasingly forgotten by society.",New Democratic Party,Hochelaga,Marjolaine Boutin-Sweet,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=a710e2c4-20f9-4df8-ba6c-2dc50c03bb75&Language=E&Section=ALL,"prostitution is not a career choice. Many women get involved in prostitution to feed their drug addiction. Fines and prison are not the solution to drug-related prostitution. Prevention is better than repression. We have to address the problem at its source. In other words, we have to address substance abuse and addiction. That is what a number of groups and elected officials are trying to do in Hochelaga. The community organization Dopamine, which works in addictions services, wants to relocate to a neighbourhood where the need for its services is greatest. A respite care centre would be set up at Dopamine's former location where prostitutes could go to shower and sleep, and get help when they are ready to get out of the business. However, despite the recommendation of the Agence de santé de Montréal, the application to the Homelessness Partnering Strategy to relocate Dopamine has been dragging on for months. What is more, I have received no response to the letter I sent to the Minister of Human Resources explaining this increasingly critical situation. I hope to receive a positive response soon and I hope that the budget tabled a little later on will not abandon these people who feel increasingly forgotten by society."
23708,4331433,ca.proc.d.2006-06-12.195.61,12-06-2006,d61c4630-5e6e-4479-91dc-809e1b023a89,443,"Mr. Brian Murphy (Moncton—Riverview—Dieppe, Lib.)",,Statements By Members,Prostitution,,"Mr. Speaker, as Canadians we have a lot to be proud of, but we must take responsibility for the not so great. It is shameful that with all we know that the continued abuse and victimization of women and children exists in our society.

The sex trade creates many victims. Some people from my town see this every day. People are fed up with seeing drug and prostitution paraphernalia littered through their neighbourhoods and have taken matters into their own hands by creating a group called Residents Against Street Solicitation.

It is known as RASS, Residents against Street Prostitution and Solicitation.

I call on the government to stand up for women and children, and provide more resources and social programs to women in need. 

Prostitution is a problem that illustrates the social inequalities between the sexes. The government wants to protect men with guns, but is doing very little to assist women and their families. If it is not right for our daughters, mothers or our wives, it is not right for any woman.",Liberal,Moncton--Riverview--Dieppe,Brian Murphy,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d61c4630-5e6e-4479-91dc-809e1b023a89&Language=E&Section=ALL,"as Canadians we have a lot to be proud of, but we must take responsibility for the not so great. It is shameful that with all we know that the continued abuse and victimization of women and children exists in our society. The sex trade creates many victims. Some people from my town see this every day. People are fed up with seeing drug and prostitution paraphernalia littered through their neighbourhoods and have taken matters into their own hands by creating a group called Residents Against Street Solicitation. It is known as RASS, Residents against Street Prostitution and Solicitation. I call on the government to stand up for women and children, and provide more resources and social programs to women in need.  Prostitution is a problem that illustrates the social inequalities between the sexes. The government wants to protect men with guns, but is doing very little to assist women and their families. If it is not right for our daughters, mothers or our wives, it is not right for any woman."
30672,4500907,ca.proc.d.2011-11-21.2419.66,21-11-2011,c861cfd8-ac30-4ddf-9d31-79dd34dcc59e,8479,"Ms. Ruth Ellen Brosseau (Berthier—Maskinongé, NDP)",,Statements By Members,Poverty,,"Mr. Speaker, I find the continued existence of and the increase in poverty in Canada extremely worrisome.

According to the Hunger Count 2011 Report, released on November 16 by Banques alimentaires Québec, the use of food banks has increased by 22% in Quebec since 2008. What is more, 15.6% of people used a food bank for the first time. Nearly three times as many seniors are using food banks and nearly half of the households asking for help are families with children. This situation is very troubling.

In my riding, unemployment is high and the population is aging. These factors obviously affect the need for food aid. The Louiseville organization called Le Noël du pauvre has noticed an increase in requests for help.

I feel it is our duty, as elected members, to work to implement measures that will fight poverty in Canada. I am committed to doing just that, as are my NDP colleagues, and I urge the government to do the same.",New Democratic Party,Berthier--Maskinongé,Ruth Ellen Brosseau,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=c861cfd8-ac30-4ddf-9d31-79dd34dcc59e&Language=E&Section=ALL,"I find the continued existence of and the increase in poverty in Canada extremely worrisome. According to the Hunger Count 2011 Report, released on November 16 by Banques alimentaires Québec, the use of food banks has increased by 22% in Quebec since 2008. What is more, 15.6% of people used a food bank for the first time. Nearly three times as many seniors are using food banks and nearly half of the households asking for help are families with children. This situation is very troubling. In my riding, unemployment is high and the population is aging. These factors obviously affect the need for food aid. The Louiseville organization called Le Noël du pauvre has noticed an increase in requests for help. I feel it is our duty, as elected members, to work to implement measures that will fight poverty in Canada. I am committed to doing just that, as are my NDP colleagues, and I urge the government to do the same."
24347,4375854,ca.proc.d.2007-11-20.356.113,20-11-2007,c9e94bb2-ee91-4587-a0a4-ae4ec2056ec7,262,"Mr. Mario Silva (Davenport, Lib.)",,Statements By Members,Poverty,,"Mr. Speaker, Canada's economy may be doing well, but across the country there are millions of Canadians who live in poverty. This is especially true for women and children, as has been reported across the country today.

Single female seniors are particularly challenged. One report provides the example of a single female senior who, having worked all her life to raise her three children, has had to give up her car, buy second-hand clothes and live on combined benefits of $16,000 per year.

The United Nations agency for children, UNICEF, reports that in Canada “our children are suffering from unacceptable rates of poverty”.

The levels of poverty in this country, especially for women and children, are totally unacceptable.

 The Leader of the Opposition has recently outlined real and meaningful plans to deal with the issue of poverty in Canada, but from the government we hear nothing. That is an absolute shame. Canadians deserve better.",Liberal,Davenport,Mario Silva,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=c9e94bb2-ee91-4587-a0a4-ae4ec2056ec7&Language=E&Section=ALL,"Canada's economy may be doing well, but across the country there are millions of Canadians who live in poverty. This is especially true for women and children, as has been reported across the country today. Single female seniors are particularly challenged. One report provides the example of a single female senior who, having worked all her life to raise her three children, has had to give up her car, buy second-hand clothes and live on combined benefits of $16,000 per year. The United Nations agency for children, UNICEF, reports that in Canada “our children are suffering from unacceptable rates of poverty”. The levels of poverty in this country, especially for women and children, are totally unacceptable.  The Leader of the Opposition has recently outlined real and meaningful plans to deal with the issue of poverty in Canada, but from the government we hear nothing. That is an absolute shame. Canadians deserve better."
6922,4064124,ca.proc.d.1997-10-22.653.12,22-10-1997,371336d4-a92b-4661-94b4-14d8939d7e94,296,"Mr. Maurice Vellacott (Wanuskewin, Ref.)",,Statements By Members,Pornography,,"Mr. Speaker, the group Canadians Addressing Sexual Exploitation has sponsored white ribbon against pornography week and some of the members of the House are wearing white ribbons in support of this.

People who view pornography are affected in different ways, but they are all affected. Child molesters have been shaped by the pornography they view. Individuals who become rapists have by pornography been desensitized to the personhood and dignity of women.

And those seduced by pornography who do not become sexual criminals nevertheless develop a contaminated view of human sexuality. This breeds unfaithfulness to one's spouse and is therefore destructive to families.

We are reminded of the need to restrain the pornography industry which causes so much personal devastation and societal harm. Those opposing this cancer are to be commended for their courage and endeavours in these days.",Reform,Wanuskewin,Maurice Vellacott,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=371336d4-a92b-4661-94b4-14d8939d7e94&Language=E&Section=ALL,"the group Canadians Addressing Sexual Exploitation has sponsored white ribbon against pornography week and some of the members of the House are wearing white ribbons in support of this. People who view pornography are affected in different ways, but they are all affected. Child molesters have been shaped by the pornography they view. Individuals who become rapists have by pornography been desensitized to the personhood and dignity of women. And those seduced by pornography who do not become sexual criminals nevertheless develop a contaminated view of human sexuality. This breeds unfaithfulness to one's spouse and is therefore destructive to families. We are reminded of the need to restrain the pornography industry which causes so much personal devastation and societal harm. Those opposing this cancer are to be commended for their courage and endeavours in these days."
10637,4129762,ca.proc.d.1999-10-18.2039.70,18-10-1999,186d2874-19e4-4f84-89df-80e94bbc82d6,2064,"Mr. Paul Forseth (New Westminster—Coquitlam—Burnaby, Ref.)",,Statements By Members,Child Pornography,,"Mr. Speaker, how can Canadians trust the Liberals when they say they will protect children and then avoid positive action on the possession of child pornography?

The recent throne speech said that the government would work with Canadians to ensure that our communities continue to be safe. Its focus will be balanced, combining prevention and a community centred approach with action to deal with serious crime.

Child pornography is a serious crime and in response on Friday 300,000 Canadians voiced their community-centred approach through a petition against child pornography insisting the government defend the law.

In response, the justice minister accuses Reform members of being scaremongers. Obviously the minister does not feel obligated to the community will, and also has no ability to get cabinet approval for action.

Children are the most vulnerable members of society and they deserve the fullest protection of the law. Liberal sentiments delivered in regal fashion do not close legal loopholes or defend families. The poor Liberal justice system will only be improved when the system defenders are replaced by the system changers in the opposition.",Reform,New Westminster--Coquitlam--Burnaby,Paul Forseth,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=186d2874-19e4-4f84-89df-80e94bbc82d6&Language=E&Section=ALL,"how can Canadians trust the Liberals when they say they will protect children and then avoid positive action on the possession of child pornography? The recent throne speech said that the government would work with Canadians to ensure that our communities continue to be safe. Its focus will be balanced, combining prevention and a community centred approach with action to deal with serious crime. Child pornography is a serious crime and in response on Friday 300,000 Canadians voiced their community-centred approach through a petition against child pornography insisting the government defend the law. In response, the justice minister accuses Reform members of being scaremongers. Obviously the minister does not feel obligated to the community will, and also has no ability to get cabinet approval for action. Children are the most vulnerable members of society and they deserve the fullest protection of the law. Liberal sentiments delivered in regal fashion do not close legal loopholes or defend families. The poor Liberal justice system will only be improved when the system defenders are replaced by the system changers in the opposition."
20383,4269417,ca.proc.d.2004-02-27.1636.25,27-02-2004,3fdae7dd-2050-4a7b-a44f-0ef36124b8bd,43,"Mr. Garry Breitkreuz (Yorkton—Melville, CPC)",,Statements By Members,Marijuana,,"Mr. Speaker, young people who do not want to use drugs have come to me expressing grave concerns about what is happening in their communities, all because the Liberal government is sending the wrong message across Canada about drugs.

By decriminalizing marijuana, our government is forcing our youth to live in a world where drug use is making life more difficult. Psychological pressure to use marijuana is increasing. Drug induced crime creates more tension and problems. A good education is more difficult to obtain because of the negative behaviour and attitudes of their classmates using pot.

Drug offences in Saskatchewan have increased by 97% in the last 10 years. Our youth deserve better. Being free to grow and develop should be their right. Instead, the damaging influence of drug use pollutes their environment.

Protecting Canada's youth should be our number one priority. Why does the Liberal government care so little about our young people?",Canadian Alliance,Yorkton--Melville,Garry Breitkreuz,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=3fdae7dd-2050-4a7b-a44f-0ef36124b8bd&Language=E&Section=ALL,"young people who do not want to use drugs have come to me expressing grave concerns about what is happening in their communities, all because the Liberal government is sending the wrong message across Canada about drugs. By decriminalizing marijuana, our government is forcing our youth to live in a world where drug use is making life more difficult. Psychological pressure to use marijuana is increasing. Drug induced crime creates more tension and problems. A good education is more difficult to obtain because of the negative behaviour and attitudes of their classmates using pot. Drug offences in Saskatchewan have increased by 97% in the last 10 years. Our youth deserve better. Being free to grow and develop should be their right. Instead, the damaging influence of drug use pollutes their environment. Protecting Canada's youth should be our number one priority. Why does the Liberal government care so little about our young people?"
