% 1. Title: majorclaim-conclusion_length
%
% 2. Sources:
%      (a) Creator: visit-the-dome
%      (b) Date:    2019-06-16
%      (c) Corpus:  data/student-essays/split/full-essay/training
%

@RELATION  ArgumentativeDiscourseUnit-unitType

@ATTRIBUTE ContentLength_characters  NUMERIC
@ATTRIBUTE ContentLength_tokens  NUMERIC
@ATTRIBUTE class  {conclusion,premise}

@DATA
{0 0.2093, 1 0.13889, 2 conclusion}
{0 0.35756, 1 0.26389, 2 premise}
{0 0.39244, 1 0.375, 2 premise}
{0 0.67733, 1 0.56944, 2 premise}
{0 0.29942, 1 0.29167, 2 premise}
{0 0.25872, 1 0.20833, 2 premise}
{0 0.12791, 1 0.08333, 2 premise}
{0 0.30523, 1 0.29167, 2 premise}
{0 0.86337, 1 0.84722, 2 premise}
{0 0.18895, 1 0.15278, 2 premise}
{0 0.22384, 1 0.19444, 2 conclusion}
{0 0.28488, 1 0.23611, 2 conclusion}
{0 0.36047, 1 0.27778, 2 premise}
{0 0.61919, 1 0.45833, 2 premise}
{0 0.30523, 1 0.26389, 2 premise}
{0 0.31686, 1 0.30556, 2 premise}
{0 0.19477, 1 0.125, 2 premise}
{0 0.10465, 1 0.125, 2 premise}
{0 0.28488, 1 0.25, 2 premise}
{0 0.25872, 1 0.20833, 2 premise}
{0 0.4564, 1 0.38889, 2 premise}
{0 0.32558, 1 0.27778, 2 premise}
{0 0.24419, 1 0.15278, 2 premise}
{0 0.25872, 1 0.23611, 2 premise}
{0 0.40988, 1 0.29167, 2 conclusion}
{0 0.21221, 1 0.15278, 2 conclusion}
{0 0.51163, 1 0.33333, 2 premise}
{0 0.57849, 1 0.51389, 2 premise}
{0 0.31395, 1 0.25, 2 premise}
{0 0.29942, 1 0.25, 2 premise}
{0 0.24709, 1 0.18056, 2 premise}
{0 0.1686, 1 0.13889, 2 premise}
{0 0.23837, 1 0.16667, 2 premise}
{0 0.22384, 1 0.19444, 2 premise}
{0 0.27616, 1 0.26389, 2 premise}
{0 0.23837, 1 0.18056, 2 premise}
{0 0.34012, 1 0.27778, 2 conclusion}
{0 0.10174, 1 0.06944, 2 conclusion}
{0 0.23837, 1 0.19444, 2 premise}
{0 0.28488, 1 0.23611, 2 premise}
{0 0.28488, 1 0.25, 2 premise}
{0 0.15988, 1 0.125, 2 premise}
{0 0.20349, 1 0.18056, 2 premise}
{0 0.24419, 1 0.19444, 2 premise}
{0 0.32849, 1 0.25, 2 premise}
{0 0.15988, 1 0.125, 2 premise}
{0 0.36628, 1 0.27778, 2 premise}
{0 0.15988, 1 0.125, 2 premise}
{0 0.27035, 1 0.25, 2 premise}
{0 0.13081, 1 0.11111, 2 premise}
{0 0.25872, 1 0.25, 2 premise}
{0 0.13663, 1 0.11111, 2 premise}
{0 0.22093, 1 0.20833, 2 premise}
{0 0.21221, 1 0.19444, 2 premise}
{0 0.13663, 1 0.13889, 2 premise}
{0 0.26744, 1 0.25, 2 conclusion}
