2016-02-07-06-45-52.578	-60	ANNOTATOR	INFO	action	open
2016-02-07-06-45-59.264	-60	ANNOTATOR	segment-labeling	0	anecdote
2016-02-07-06-46-01.467	-60	ANNOTATOR	segment-labeling	1	continued
2016-02-07-06-46-05.058	-60	ANNOTATOR	segment-labeling	2	continued
2016-02-07-06-46-07.016	-60	ANNOTATOR	segment-labeling	3	continued
2016-02-07-06-46-11.939	-60	ANNOTATOR	segment-labeling	4	continued
2016-02-07-06-46-13.532	-60	ANNOTATOR	segment-labeling	5	continued
2016-02-07-06-46-16.398	-60	ANNOTATOR	segment-labeling	6	anecdote
2016-02-07-06-46-18.733	-60	ANNOTATOR	segment-labeling	7	nounit
2016-02-07-06-46-21.496	-60	ANNOTATOR	segment-labeling	8	nounit
2016-02-07-06-46-23.518	-60	ANNOTATOR	segment-labeling	9	continued
2016-02-07-06-46-27.567	-60	ANNOTATOR	segment-labeling	10	assumption
2016-02-07-06-46-30.719	-60	ANNOTATOR	segment-labeling	11	nounit
2016-02-07-06-46-34.281	-60	ANNOTATOR	segment-labeling	12	continued
2016-02-07-06-46-36.374	-60	ANNOTATOR	segment-labeling	13	continued
2016-02-07-06-46-38.232	-60	ANNOTATOR	segment-labeling	14	continued
2016-02-07-06-46-42.361	-60	ANNOTATOR	segment-labeling	14	assumption
2016-02-07-06-46-44.650	-60	ANNOTATOR	segment-labeling	15	nounit
2016-02-07-06-46-55.812	-60	ANNOTATOR	segment-labeling	16	continued
2016-02-07-06-46-58.902	-60	ANNOTATOR	segment-labeling	17	continued
2016-02-07-06-47-10.651	-60	ANNOTATOR	segment-labeling	18	anecdote
2016-02-07-06-47-14.670	-60	ANNOTATOR	segment-labeling	19	anecdote
2016-02-07-06-47-18.581	-60	ANNOTATOR	segment-labeling	20	continued
2016-02-07-06-47-26.180	-60	ANNOTATOR	segment-labeling	21	anecdote
2016-02-07-06-47-32.562	-60	ANNOTATOR	segment-labeling	22	continued
2016-02-07-06-47-34.574	-60	ANNOTATOR	segment-labeling	23	continued
2016-02-07-06-47-37.481	-60	ANNOTATOR	segment-labeling	24	assumption
2016-02-07-06-47-44.885	-60	ANNOTATOR	segment-labeling	25	continued
2016-02-07-06-47-46.687	-60	ANNOTATOR	segment-labeling	26	continued
2016-02-07-06-47-49.029	-60	ANNOTATOR	segment-labeling	27	continued
2016-02-07-06-47-51.335	-60	ANNOTATOR	segment-labeling	28	continued
2016-02-07-06-47-56.654	-60	ANNOTATOR	segment-labeling	29	anecdote
2016-02-07-06-48-05.637	-60	ANNOTATOR	segment-labeling	30	continued
2016-02-07-06-48-07.130	-60	ANNOTATOR	segment-labeling	31	continued
2016-02-07-06-48-08.957	-60	ANNOTATOR	segment-labeling	32	continued
2016-02-07-06-48-11.558	-60	ANNOTATOR	segment-labeling	33	anecdote
2016-02-07-06-48-16.968	-60	ANNOTATOR	segment-labeling	34	assumption
2016-02-07-06-48-22.482	-60	ANNOTATOR	segment-labeling	35	nounit
2016-02-07-06-48-24.938	-60	ANNOTATOR	segment-labeling	36	nounit
2016-02-07-06-48-27.722	-60	ANNOTATOR	segment-labeling	37	nounit
2016-02-07-06-48-31.560	-60	ANNOTATOR	segment-labeling	38	anecdote
2016-02-07-06-48-34.276	-60	ANNOTATOR	segment-labeling	39	anecdote
2016-02-07-06-48-36.385	-60	ANNOTATOR	segment-labeling	40	continued
2016-02-07-06-48-38.037	-60	ANNOTATOR	segment-labeling	41	continued
2016-02-07-06-48-41.432	-60	ANNOTATOR	segment-labeling	42	anecdote
2016-02-07-06-48-45.142	-60	ANNOTATOR	segment-labeling	43	nounit
2016-02-07-06-48-50.553	-60	ANNOTATOR	segment-labeling	44	nounit
2016-02-07-06-48-53.126	-60	ANNOTATOR	segment-labeling	45	nounit
2016-02-07-06-48-56.468	-60	ANNOTATOR	segment-labeling	46	nounit
2016-02-07-06-48-59.104	-60	ANNOTATOR	segment-labeling	47	nounit
2016-02-07-06-49-02.017	-60	ANNOTATOR	segment-labeling	48	continued
2016-02-07-06-49-04.090	-60	ANNOTATOR	segment-labeling	49	continued
2016-02-07-06-49-07.202	-60	ANNOTATOR	segment-labeling	50	anecdote
2016-02-07-06-49-12.119	-60	ANNOTATOR	segment-labeling	51	anecdote
2016-02-07-06-49-14.560	-60	ANNOTATOR	segment-labeling	52	continued
2016-02-07-06-49-16.742	-60	ANNOTATOR	segment-labeling	53	assumption
2016-02-07-06-49-19.737	-60	ANNOTATOR	segment-labeling	54	nounit
2016-02-07-06-49-22.654	-60	ANNOTATOR	segment-labeling	55	continued
2016-02-07-06-49-25.712	-60	ANNOTATOR	segment-labeling	56	continued
2016-02-07-06-49-31.898	-60	ANNOTATOR	segment-labeling	55	nounit
2016-02-07-06-49-35.111	-60	ANNOTATOR	segment-labeling	56	anecdote
2016-02-07-06-49-37.518	-60	ANNOTATOR	segment-labeling	57	continued
2016-02-07-06-49-39.873	-60	ANNOTATOR	segment-labeling	58	continued
2016-02-07-06-49-44.196	-60	ANNOTATOR	segment-labeling	59	continued
2016-02-07-06-49-46.079	-60	ANNOTATOR	segment-labeling	60	continued
2016-02-07-06-49-47.955	-60	ANNOTATOR	segment-labeling	61	continued
2016-02-07-06-49-56.703	-60	ANNOTATOR	segment-labeling	61	anecdote
2016-02-07-06-49-59.280	-60	ANNOTATOR	segment-labeling	62	nounit
2016-02-07-06-50-01.780	-60	ANNOTATOR	segment-labeling	63	assumption
