2016-02-08-00-28-12.492	-60	ANNOTATOR	INFO	action	open
2016-02-08-00-28-16.589	-60	ANNOTATOR	segment-labeling	0	continued
2016-02-08-00-28-17.913	-60	ANNOTATOR	segment-labeling	1	continued
2016-02-08-00-28-19.405	-60	ANNOTATOR	segment-labeling	2	assumption
2016-02-08-00-28-20.397	-60	ANNOTATOR	segment-labeling	3	continued
2016-02-08-00-28-21.142	-60	ANNOTATOR	segment-labeling	4	continued
2016-02-08-00-28-22.819	-60	ANNOTATOR	segment-labeling	5	continued
2016-02-08-00-28-23.778	-60	ANNOTATOR	segment-labeling	6	continued
2016-02-08-00-28-24.675	-60	ANNOTATOR	segment-labeling	7	continued
2016-02-08-00-28-25.398	-60	ANNOTATOR	segment-labeling	8	continued
2016-02-08-00-28-26.314	-60	ANNOTATOR	segment-labeling	9	continued
2016-02-08-00-28-28.940	-60	ANNOTATOR	segment-labeling	10	assumption
2016-02-08-00-28-31.096	-60	ANNOTATOR	segment-labeling	11	nounit
2016-02-08-00-28-33.894	-60	ANNOTATOR	segment-labeling	12	assumption
2016-02-08-00-28-35.869	-60	ANNOTATOR	segment-labeling	13	continued
2016-02-08-00-28-36.694	-60	ANNOTATOR	segment-labeling	14	continued
2016-02-08-00-28-41.530	-60	ANNOTATOR	segment-labeling	15	continued
2016-02-08-00-28-42.782	-60	ANNOTATOR	segment-labeling	16	assumption
2016-02-08-00-28-47.997	-60	ANNOTATOR	segment-labeling	17	continued
2016-02-08-00-28-49.260	-60	ANNOTATOR	segment-labeling	18	continued
2016-02-08-00-28-51.247	-60	ANNOTATOR	segment-labeling	19	continued
2016-02-08-00-28-52.294	-60	ANNOTATOR	segment-labeling	20	continued
2016-02-08-00-28-53.065	-60	ANNOTATOR	segment-labeling	21	continued
2016-02-08-00-28-53.900	-60	ANNOTATOR	segment-labeling	22	continued
2016-02-08-00-28-54.591	-60	ANNOTATOR	segment-labeling	23	continued
2016-02-08-00-28-56.175	-60	ANNOTATOR	segment-labeling	24	continued
2016-02-08-00-28-57.029	-60	ANNOTATOR	segment-labeling	25	continued
2016-02-08-00-28-57.763	-60	ANNOTATOR	segment-labeling	26	continued
2016-02-08-00-28-59.225	-60	ANNOTATOR	segment-labeling	27	assumption
2016-02-08-00-29-02.949	-60	ANNOTATOR	segment-labeling	28	continued
2016-02-08-00-29-04.025	-60	ANNOTATOR	segment-labeling	29	continued
2016-02-08-00-29-06.109	-60	ANNOTATOR	segment-labeling	30	continued
2016-02-08-00-29-06.911	-60	ANNOTATOR	segment-labeling	31	continued
2016-02-08-00-29-08.198	-60	ANNOTATOR	segment-labeling	32	continued
2016-02-08-00-29-10.662	-60	ANNOTATOR	segment-labeling	33	testimony
2016-02-08-00-29-13.840	-60	ANNOTATOR	segment-labeling	35	continued
2016-02-08-00-29-15.065	-60	ANNOTATOR	segment-labeling	36	continued
2016-02-08-00-29-17.027	-60	ANNOTATOR	segment-labeling	37	nounit
2016-02-08-00-29-18.928	-60	ANNOTATOR	segment-labeling	34	continued
2016-02-08-00-29-26.366	-60	ANNOTATOR	segment-labeling	37	continued
2016-02-08-00-29-26.372	-60	ANNOTATOR	segment-labeling	38	continued
2016-02-08-00-29-26.374	-60	ANNOTATOR	segment-labeling	37	continued
2016-02-08-00-29-26.379	-60	ANNOTATOR	segment-labeling	38	continued
2016-02-08-00-29-28.493	-60	ANNOTATOR	segment-labeling	39	continued
2016-02-08-00-29-30.099	-60	ANNOTATOR	segment-labeling	40	continued
2016-02-08-00-29-31.252	-60	ANNOTATOR	segment-labeling	41	continued
2016-02-08-00-29-33.299	-60	ANNOTATOR	segment-labeling	42	nounit
