2016-02-24-01-57-36.075	-60	ANNOTATOR	INFO	action	open
2016-02-24-01-57-45.975	-60	ANNOTATOR	segment-labeling	0	nounit
2016-02-24-01-57-48.571	-60	ANNOTATOR	segment-labeling	1	assumption
2016-02-24-01-57-50.802	-60	ANNOTATOR	segment-labeling	2	assumption
2016-02-24-01-57-52.613	-60	ANNOTATOR	segment-labeling	3	nounit
2016-02-24-01-57-56.439	-60	ANNOTATOR	segment-labeling	4	nounit
2016-02-24-01-57-58.500	-60	ANNOTATOR	segment-labeling	5	nounit
2016-02-24-01-58-00.193	-60	ANNOTATOR	segment-labeling	6	nounit
2016-02-24-01-58-02.370	-60	ANNOTATOR	segment-labeling	7	continued
2016-02-24-01-58-03.091	-60	ANNOTATOR	segment-labeling	8	continued
2016-02-24-01-58-06.056	-60	ANNOTATOR	segment-labeling	9	continued
2016-02-24-01-58-08.494	-60	ANNOTATOR	segment-labeling	10	assumption
2016-02-24-01-58-10.283	-60	ANNOTATOR	segment-labeling	11	other
2016-02-24-01-58-12.480	-60	ANNOTATOR	segment-labeling	11	nounit
2016-02-24-01-58-14.432	-60	ANNOTATOR	segment-labeling	12	assumption
2016-02-24-01-58-15.903	-60	ANNOTATOR	segment-labeling	13	continued
2016-02-24-01-58-17.349	-60	ANNOTATOR	segment-labeling	14	continued
2016-02-24-01-58-19.985	-60	ANNOTATOR	segment-labeling	15	continued
2016-02-24-01-58-22.410	-60	ANNOTATOR	segment-labeling	16	assumption
2016-02-24-01-58-35.159	-60	ANNOTATOR	segment-labeling	17	assumption
2016-02-24-01-58-37.130	-60	ANNOTATOR	segment-labeling	18	nounit
2016-02-24-01-58-39.645	-60	ANNOTATOR	segment-labeling	19	nounit
2016-02-24-01-58-42.555	-60	ANNOTATOR	segment-labeling	20	nounit
2016-02-24-01-58-45.061	-60	ANNOTATOR	segment-labeling	21	nounit
2016-02-24-01-58-47.373	-60	ANNOTATOR	segment-labeling	22	nounit
2016-02-24-01-58-48.992	-60	ANNOTATOR	segment-labeling	23	nounit
2016-02-24-01-58-52.162	-60	ANNOTATOR	segment-labeling	24	continued
2016-02-24-01-58-54.837	-60	ANNOTATOR	segment-labeling	25	continued
2016-02-24-01-58-55.927	-60	ANNOTATOR	segment-labeling	26	continued
2016-02-24-01-58-57.554	-60	ANNOTATOR	segment-labeling	27	assumption
2016-02-24-02-07-06.459	-60	ANNOTATOR	segment-labeling	28	continued
2016-02-24-02-07-07.264	-60	ANNOTATOR	segment-labeling	29	continued
2016-02-24-02-07-09.417	-60	ANNOTATOR	segment-labeling	30	continued
2016-02-24-02-07-13.128	-60	ANNOTATOR	segment-labeling	31	assumption
2016-02-24-02-07-17.788	-60	ANNOTATOR	segment-labeling	32	continued
2016-02-24-02-07-20.011	-60	ANNOTATOR	segment-labeling	33	assumption
2016-02-24-02-07-23.106	-60	ANNOTATOR	segment-labeling	34	continued
2016-02-24-02-07-24.577	-60	ANNOTATOR	segment-labeling	35	continued
2016-02-24-02-07-26.493	-60	ANNOTATOR	segment-labeling	36	continued
2016-02-24-02-07-30.173	-60	ANNOTATOR	segment-labeling	37	nounit
2016-02-24-02-07-36.296	-60	ANNOTATOR	segment-labeling	38	continued
2016-02-24-02-07-37.985	-60	ANNOTATOR	segment-labeling	39	continued
2016-02-24-02-07-40.085	-60	ANNOTATOR	segment-labeling	40	continued
2016-02-24-02-07-42.587	-60	ANNOTATOR	segment-labeling	41	continued
2016-02-24-02-07-44.649	-60	ANNOTATOR	segment-labeling	42	nounit
2016-02-24-02-07-47.017	-60	ANNOTATOR	segment-labeling	43	nounit
2016-02-24-02-07-48.865	-60	ANNOTATOR	segment-labeling	44	continued
2016-02-24-02-07-50.365	-60	ANNOTATOR	segment-labeling	45	continued
2016-02-24-02-07-52.233	-60	ANNOTATOR	segment-labeling	46	assumption
2016-02-24-02-07-54.822	-60	ANNOTATOR	segment-labeling	47	assumption
2016-02-24-02-08-05.428	-60	ANNOTATOR	segment-labeling	48	assumption
2016-02-24-02-08-06.866	-60	ANNOTATOR	segment-labeling	49	continued
2016-02-24-02-08-09.636	-60	ANNOTATOR	segment-labeling	50	assumption
2016-02-24-02-08-11.387	-60	ANNOTATOR	segment-labeling	51	continued
2016-02-24-02-08-14.860	-60	ANNOTATOR	segment-labeling	52	nounit
2016-02-24-02-08-16.181	-60	ANNOTATOR	segment-labeling	53	continued
2016-02-24-02-08-17.889	-60	ANNOTATOR	segment-labeling	52	continued
2016-02-24-02-08-19.973	-60	ANNOTATOR	segment-labeling	54	testimony
2016-02-24-02-08-21.870	-60	ANNOTATOR	segment-labeling	55	continued
2016-02-24-02-08-23.909	-60	ANNOTATOR	segment-labeling	56	assumption
2016-02-24-02-08-27.029	-60	ANNOTATOR	segment-labeling	57	continued
2016-02-24-02-08-29.376	-60	ANNOTATOR	segment-labeling	58	continued
2016-02-24-02-08-33.236	-60	ANNOTATOR	segment-labeling	59	assumption
2016-02-24-02-08-35.197	-60	ANNOTATOR	segment-labeling	60	nounit
2016-02-24-02-08-37.048	-60	ANNOTATOR	segment-labeling	61	continued
2016-02-24-02-08-40.955	-60	ANNOTATOR	segment-labeling	61	assumption
2016-02-24-02-08-55.048	-60	ANNOTATOR	segment-labeling	62	continued
2016-02-24-02-08-56.406	-60	ANNOTATOR	segment-labeling	63	continued
2016-02-24-02-08-57.962	-60	ANNOTATOR	segment-labeling	64	continued
2016-02-24-02-08-59.285	-60	ANNOTATOR	segment-labeling	65	assumption
2016-02-24-02-13-15.187	-60	ANNOTATOR	segment-labeling	66	assumption
2016-02-24-02-13-38.686	-60	ANNOTATOR	segment-labeling	67	nounit
2016-02-24-02-13-42.276	-60	ANNOTATOR	segment-labeling	68	nounit
2016-02-24-02-13-43.692	-60	ANNOTATOR	segment-labeling	69	continued
2016-02-24-02-13-46.190	-60	ANNOTATOR	segment-labeling	70	assumption
2016-02-24-02-13-48.470	-60	ANNOTATOR	segment-labeling	71	continued
2016-02-24-02-13-50.925	-60	ANNOTATOR	segment-labeling	72	assumption
2016-02-24-02-13-54.163	-60	ANNOTATOR	segment-labeling	73	continued
2016-02-24-02-13-55.917	-60	ANNOTATOR	segment-labeling	74	continued
2016-02-24-02-13-57.832	-60	ANNOTATOR	segment-labeling	75	continued
2016-02-24-02-14-04.573	-60	ANNOTATOR	segment-labeling	76	assumption
2016-02-24-02-14-07.493	-60	ANNOTATOR	segment-labeling	77	continued
2016-02-24-02-14-08.943	-60	ANNOTATOR	segment-labeling	78	continued
2016-02-24-02-14-10.883	-60	ANNOTATOR	segment-labeling	79	nounit
2016-02-24-02-14-12.506	-60	ANNOTATOR	segment-labeling	80	continued
2016-02-24-02-14-13.830	-60	ANNOTATOR	segment-labeling	78	assumption
2016-02-24-02-14-15.490	-60	ANNOTATOR	segment-labeling	81	assumption
2016-02-24-02-14-18.641	-60	ANNOTATOR	segment-labeling	82	continued
2016-02-24-02-14-19.709	-60	ANNOTATOR	segment-labeling	83	continued
2016-02-24-02-14-21.751	-60	ANNOTATOR	segment-labeling	84	assumption
2016-02-24-22-15-33.590	-60	ANNOTATOR	segment-labeling	85	continued
2016-02-24-22-15-37.516	-60	ANNOTATOR	segment-labeling	86	assumption
2016-02-24-22-15-40.630	-60	ANNOTATOR	segment-labeling	87	continued
2016-02-24-22-15-43.435	-60	ANNOTATOR	segment-labeling	86	continued
2016-02-24-22-15-45.929	-60	ANNOTATOR	segment-labeling	88	continued
2016-02-24-22-15-48.364	-60	ANNOTATOR	segment-labeling	89	assumption
2016-02-24-22-16-54.449	-60	ANNOTATOR	segment-labeling	90	continued
2016-02-24-22-16-56.531	-60	ANNOTATOR	segment-labeling	91	assumption
2016-02-24-22-16-58.169	-60	ANNOTATOR	segment-labeling	92	continued
2016-02-24-22-16-59.831	-60	ANNOTATOR	segment-labeling	93	assumption
2016-02-24-22-17-02.986	-60	ANNOTATOR	segment-labeling	95	assumption
2016-02-24-22-17-06.053	-60	ANNOTATOR	segment-labeling	95	nounit
2016-02-24-22-17-10.577	-60	ANNOTATOR	segment-labeling	94	continued
2016-02-24-22-17-14.188	-60	ANNOTATOR	segment-labeling	96	continued
2016-02-24-22-17-16.827	-60	ANNOTATOR	segment-labeling	97	assumption
2016-02-24-22-17-23.269	-60	ANNOTATOR	segment-labeling	98	continued
2016-02-24-22-17-25.703	-60	ANNOTATOR	segment-labeling	99	assumption
2016-02-24-22-17-27.852	-60	ANNOTATOR	segment-labeling	99	continued
2016-02-24-22-17-30.546	-60	ANNOTATOR	segment-labeling	100	continued
2016-02-24-22-17-33.008	-60	ANNOTATOR	segment-labeling	101	continued
2016-02-24-22-17-37.108	-60	ANNOTATOR	segment-labeling	102	assumption
2016-02-24-22-17-39.557	-60	ANNOTATOR	segment-labeling	104	nounit
2016-02-24-22-17-41.220	-60	ANNOTATOR	segment-labeling	103	nounit
2016-02-24-22-17-45.530	-60	ANNOTATOR	segment-labeling	105	assumption
2016-02-24-22-17-49.232	-60	ANNOTATOR	segment-labeling	106	continued
2016-02-24-22-17-51.903	-60	ANNOTATOR	segment-labeling	107	assumption
2016-02-24-22-17-53.850	-60	ANNOTATOR	segment-labeling	108	continued
2016-02-24-22-18-00.291	-60	ANNOTATOR	segment-labeling	109	assumption
2016-02-24-22-18-04.339	-60	ANNOTATOR	segment-labeling	110	continued
2016-02-24-22-18-09.456	-60	ANNOTATOR	segment-labeling	110	nounit
2016-02-24-22-18-11.987	-60	ANNOTATOR	segment-labeling	111	nounit
2016-02-24-22-18-22.397	-60	ANNOTATOR	segment-labeling	112	assumption
2016-02-24-22-18-28.071	-60	ANNOTATOR	segment-labeling	113	continued
2016-02-24-22-18-30.415	-60	ANNOTATOR	segment-labeling	114	assumption
2016-02-24-22-18-33.436	-60	ANNOTATOR	segment-labeling	115	assumption
2016-02-24-22-18-38.052	-60	ANNOTATOR	segment-labeling	116	assumption
