topic_index	for_arguments	against_arguments
0	['i also think incidentally that you could be personally against abortion but allow people to decide for themselves but only if you do not think it is certainly a person and are using the freedom issue ', 'i acknowledge the society can have a say but I am simply saying if it says the laws are arbortion friendly it is rational not that it is analogous completely to areas where it can obviously exist ', 'now there is the life and liberty of the putative child to consider ', 'any differences of opinion we might have it seems would be an inherent value judgment call and tehres not much more to discuss ', 'am i understanding you the main point you made is that any chance of no life is such that we should defer given the infinite loss potential versus the loss of the choice of the mother ', ' if no liberty there is no life ', 'i realize that my stared quote is only certainly applicable to the person themself to decide to live and teh child does not have the chance or putatuive child ']	
0	[' aside from the literal fact that you are not killing it in tree form the unique set of dna stuff is an interesting biological idea that you might think since it is unque it is a person but it is simply not necessarily the case ', 'i think so because machines can make a person function when they are clearly dead this creeps out family of the dead if they see it they do it for saving organs etc sometimes and if you start using machines one by one on a person their heart and brainwaives the things that make them clinically alive or not can be usurped by machines and later they are vital signs would be working again ', 'would you consider smashing to acorn to be the same as having killed an acorn tree ', 'and if all the person is is machines and a beating heart are theyu alive ', 'could there be a point when it is unclear like when machines start taking over a body ', 'on one side you have human red blood cells on the other ameoba type organisms ', 'true the cell in your arm is not going to grow into a person but the analogy can still exist as it is similar enough to make the point the initial cell is like a block and not the final product ', 'it does not seem like a person would die in this regard even though it is a natural phenomenon and not the same as abortion ', 'at a certain point it clearly is a human and it is unreasonable to think otheriwse ', 'and in a way the machine argument goes beyond the idea that the early cells are in questionable form and shows that the mother cuold be like a machine on a lifeless body ', 'of coruse the government could decide a point it thinks it is a person cleary but that is not necessarily the early organism cell ', 'but i simply disagree and think it is a reasonable position to have ', ' i think it is reasonable to think reasonably disputed life can be valued less than the freedom to choose ', 'true the early cell is unique no other dna like this an separate its own entity ', 'if you have a snowball that you are going to use to get to that snowman before he exists the snowball obviously is not a snowman ', 'if you have a cell like a block and start building the cell is not necessarily a human person either ', 'to the counter contention that your red blood cell does not grow into a person ', ' most arguments are very lacking but i think this one is not so much no one knows so who should decide ', ' it is often the moral thing to do to defer to allowing others the freedom to do something heres it is unclar whether it is hurting another but the principle still is here and needs weighed ']	
0		['my argument is and has been this if we as a society are to weigh the value of life to all persons in making decisions then we must also consider the value of the life of the possible person inside the mothers womb ', ' at the end of her comments dairygirl reminds us any differences of opinion we might have it seems would be an inherent value judgment call and tehres not much more to discuss ', ' i think it is reasonable to think reasonably disputed life can be valued less than the freedom to choose ', ' i also think incidentally that you could be personally against abortion but allow people to decide for themselves but only if you do not think it is certainly a person and are using the freedom issue ', 'am i understanding you simply put i believe dairygirls belief in early abortions to be reasonable for a person to hold who has not examined the full rationality of the situation ', ' and none of these statements in any way provide justification for the implied assumption of her claim right to choose abortion value of life to society now it can be argued that i have given no justification for my argument that value of life infinite however this is irrelivent ', 'consequently these are the closing remarks so i shall mostly restate my argument attempt to answer  concerns and to demonstrate that although this debate missed round  for reasons of the holidary it should be inconsequential to the debate results because of the weaknesses inherent in dairygirls arguments ', ' i acknowledge the society can have a say but I am simply saying if it says the laws are arbortion friendly it is rational not that it is analogous completely to areas where it can obviously exist ', ' liberty value of life a very specific choice therefore in two rounds of debate dairygirl has presented no substantiation for her claims that a government can rationally legalize abortion ']
0		['i think so because machines can make a person function when they are clearly dead this creeps out family of the dead if they see it they do it for saving organs etc sometimes and if you start using machines one by one on a person their heart and brainwaives the things that make them clinically alive or not can be usurped by machines and later they are vital signs would be working again ', 'and if all the person is is machines and a beating heart are theyu alive ', 'could there be a point when it is unclear like when machines start taking over a body ', 'and in a way the machine argument goes beyond the idea that the early cells are in questionable form and shows that the mother cuold be like a machine on a lifeless body ', 'and as a society set out to protects human rights it is not only the mother but also the child whose best interests need to be preserved ', ' chance of life value to mother child society infinite loss it is often the moral thing to do to defer to allowing others the freedom to do something heres it is unclar whether it is hurting another but the principle still is here and needs weighed ', 'it does not seem like a person would die in this regard even though it is a natural phenomenon and not the same as abortion ', 'such that we are only then considering the value of the childs life to the mother but for doing this we have no logical reason as the mother is not the only person involved ', ' understanding biology cells which fail to be implanted do so because the embryo itself is not sending off the right hormones to prepare the womb for implantation ', ' i think it is reasonable to think reasonably disputed life can be valued less than the freedom to choose ', 'of coruse the government could decide a point it thinks it is a person cleary but that is not necessarily the early organism cell ', ' if you think there is any uncertainty about when life begins then it might be reasonable but it is certainly not rational as a complete and rational position has to take into account the risks that ones personal conclusion might be wrong ', 'in terms of energy and plain ol spunk they are more than they ever will be again ', ' at a certain point it clearly is a human and it is unreasonable to think otheriwse ', 'but i simply disagree and think it is a reasonable position to have ']
1	['i said the safest way to do it is do not because that truly is the safest way but i am by no way saying that a couple can not have sex if they do not want a baby when did i even remotely say that ', 'i am in no way against a couple pleasuring each other ', 'i was clearly on about if she got pregnant without wanting to ', 'if you want to knock her up go ahead ', 'this debate has sort of skewed on way ']	
1	['abortion is one of these hard topics to discuss but being the controversial person i am i will take you on ', 'I will give you some examples why it should for example let us say someone was raped and they did not want a baby but now they are pregnant ', 'another example would be if the condom split during the act ']	
1	['it is not it is own life yet and the embryo would not be concious until it developed a brain which happens later into the pregnancy ', 'there has to be a sanction for breaking a law whether that is a fine or a prison sentence ', 'but anyways the first trimester is the best time to abort the pregnancy as all the embryo is at this point is a ball of stem cells ']	
1		[' if you want to have a baby by all means proceed ', 'you seem to be pretty much admitting that if you do not want to risk pregnancy you can not do it ', 'almost no one goes to this degree but they could which shows some degree of culpability ']
1		['and the last reason it should be illegal in principal is because the mother assumed the risk of pregnancy ', 'the common arguments in favor of abortion should be used here as holistic approach to why she should be able to decide given the various moral considerations involved ', 'the pro and con about human life here are enough to say in principle we should defer to human life but not clear enough to make any meaningful punishments for it ', 'but on the other hand the earliest cell does meet the requirements for what would constitute an organism albeit it would probably be viewed as more like a parasitic organism given it must live off of the mother ', ' aside from rape and mothers health abortion should be illegal in the first trimester but not investigated nor punished ', 'i would take that same reasoning though and argue that it is such a strong consideration that it should at least be illegal albeit with no legal consequences ', 'while the mother assumed the risk of pregnancy she may have tried her best not to get pregnant and got pregnant anyways ']
1		['for all the reasons i stated above we to defer to that putative person as a person because there is too many compelling reasons not to ', 'for all the reasons i stated above we treated that putative someone as a person but recognize the various factors in consideration and not punish ', 'but when it comes to potentially harming a putative someone else it becomes an issue for society ']
