abortion early in the pregnancy can be rationally justified, but morality is eye of beholder	y
abortion should be illegal in the first trimester, but not investigated nor punished*	n
abortion should be illegal in first trimester, but not investigated nor punished*	n
abortion should be illegal including the first trimester, but not investigated nor punished*	n
The unborn are voiceless and should be protected against abortion	-
Should abortion be legal in cases of rape or incest	y
abortion should be legal if rape or incest	y
aside from rape, abortion should illegal in first trimester, but not investigated nor punished	n
there should be no age restrictions on abortions	y
abortion should be illegal including first trimester, but not investigated nor punished*	n
If the fetus is a human person, then abortion is generally immoral	n
Should abortions be legal in cases of rape and incest	-
Requiring parental consent will lead to a fall in the number of abortions.	-
Human life and a right to life begin at conception; abortion is murder	-
There is no inviolable "right to life" in abortion and other cases.	-
In regards to non-medical abortions, fraternal consent should be required at the national level.	n
Incest should not be considered in the legality of abortion.	-
Your abortion/late term abortion stance does not hold water.	-
Images of abortion are helpful in the abortion debate	-
There is no reasonable, non-religious reason for abortion to be illegal.	y
Male masturbation prevents conscious life and should be treated like abortion	-
It is better to seek abortion than neglect a born child	y
Back alley abortions are more frequent when abortion is illegal.	y
A pregnant person should always have the right to abortion, regardless of circumstances.	y
Rape is an arbitrary exception; abortion must be available in all pregnancies.	y
United States federal government should continue allowing abortions for the 1st and 2nd trimesters.	y
Minors should be required to get parental approval before getting an abortion.	n
Liberials are identical to Nazis when it comes to the issue of abortion	n
Irony in the belief that welfare and abortion can both be opposed.	-
Resolved: The Unwind solution is a better solution to abortion than a Modest Purposial.	-
Making abortion legal does not decrease abortion related deaths due to "backdoor" abortions.	-
point of fetal pain should be used instead o viability as abortion regulation standard	-
One of the most famous arguments against abortion is the "dialysis analogy" put forward by Judith Jarvis in 1971. It compares abortion to a situation in which a healthy woman (the mother by analogy) is attached to a dying patient (the fetus by analogy) in order to keep the dying patient alive. The concept is that the dying person does not have a right to the woman's body, and that the woman has a right to "unplug" (abort) even if it means the death of the other person. The problem with the analogy is many fold: 1. A woman and a fetus have a special relationship that is incomparable to that between a woman and a stranger or even a relative. There is a special biological drive inside the mother to keep the baby alive and a dependency by the baby on the mother. The mother, therefore, has a special responsibility to keep her child alive and not abort; 2. A woman often gives a form of tacit approval to the existence of a fetus in her womb: the act of engaging in sexual behavior; 3. abortion directly kills the embryo and does not merely "unplug" and let it die. These are critical differences that invalidate a classic, central argument for abortion.	-
When the ‘quick-fix’ of abortion as a response to teenage pregnancy is no longer so easily available...	-
Being in favor of abortion and against the death penalty is hypocritical and typically liberal.	n
Christian "only" debate- No christian can be against abortion but for the death penalty!	-
third trimester of pregnancy should be heavily regulated as per abortion	n
should abortion be legal yes or no (no)	y
A woman's rights are not the only rights that need to be respected in abortion:	-
if healthy baby can be removed, and mother is fine too, abortion should not be allowed	n
Evolutionary change will best resolve the issues of abortion, welfare, and social security in the U.	-
Ultrasounds forced on women who already chose abortion.	-
point of fetal pain should be used instead of viability as abortion regulation standard	-
Resolved: Social abortions ought not be legal in the US.	n
In many countries and cultures gender selection happens already, usually by selective abortion or ab...	n
The US Constitution does not explicitly confer a right to abortion	y
Doctors that perform abortions are often emotionally damaged	-
should abortion be banned in the America	n
Late term abortion is worse than early abortion.	n
I believe that abortion is wrong.	n
Partial birth abortions are safer than any available alternative	y
You cannot be against abortion and for the death penalty.	-
the third trimester of pregnancy should be heavily regulated as per abortion	-
a pregnant woman should not always be able to have an abortion	n
Should abortion be safe, legal, and rare? Pro (yes) Con (no).	-
Newly revealed natural scientific laws govern the morality of abortion	y
Preventing "back alley" abortions are no reason to legalize abortion.	-
Violent defense of the unborn is a legitimate tool to end abortion.	n
It is a contradicting for a person to stand against the death penalty and favor late term abortions.	n
Is abortion immoral if the fetus consents to the procedure	y
Resolved: The United States Federal Government should not ban abortion.	y
Ultrasounds help women make informed decisions on abortion	-
the topic of this debate is abortion and i believe that this is wrong because ur killing humans okay	n
Legalized abortion has done more good than harm	n
Alcoholism and drug-use are common after abortions.	-
Late term abortion is wrong, and ought to be illegal	n
abortion should be legal in every state	y
Men should not be aloud to discuss whether abortion is right or wrong.	-
On abortion the issue is when love not life begins	-
That abortion should not be a crime	n
abortion should be legal and not be shamed	y
In a free society, abortion is truly a matter of personal belief.	-
THW construct additional abortion clinics in populated areas where there are few	y
THW ban abortion at all stages of pregnancy	n
abortion should be legal up to the first trimester	y
People who are against abortion are anti choice, not "pro life"	y
life of infant in womb, sometimes should take priority over mother's wishes for abortion	n
life of infant in womb, should sometimes take priority over mother's wishes for abortion	n
infants born in botched partial birth abortions, should be killed	y
Should there be an amendment to ban abortion	n
Outside of endangerment of the mother's life abortion is completely immoral	n
A real debate on abortion	y
Opposition to partial birth abortion is part of a strategy intended to ban abortion in general	-
There are practical problems with banning abortion	-
The law concerning abortion rights for Americans, should stay the way it is.	-
There should be a law that only allows abortions before the end of the first trimester	n
prochoice folks should agree: babies born during botched abortions should be finished off	-
Opposition to abortion is based largely on sexism toward women	y
Chistians should be perfectly fine with abortion	y
Legal abortion protects women with serious illnesses that are vulnerable.	y
I can't decide whether to be for or against abortion - Convince me to be pro-life!	-
Minors should need parental consent for abortions	n
Capital punishment should be illegal, and abortion rights should be respected.	-
Should abortion be illegal in the United States (In Most Cases)	n
Late term abortion is wrong even when the life of the mother is at risk.	n
when both mother and baby can be saved when mom's life is at risk... abortion should not be allowed	n
The courts should be allowed to grant retrospective abortion orders	y
Legal abortions safer than black market abortions	y
Having an abortion is just as wrong as the rape itself.	-
Resolved: The practice of abortion ought to be made illegal in most circumstances	n
prochoice folks should agree: a fetus born during botched abortion should be finished off	y
that the united states should not value abortion it is wrong and selfish	y
Abortion should be outlawed, and being "pro-choice" is equivalent to being "pro-abortion."	n
Many women are disturbed by their abortions but remain pro-choice	-
The U.S. should eliminate all restictions on a woman's right to an abortion.	y
Doctors that have difficulty performing abortions still acknowledge its importance.	y
Banning partial birth abortions is in line with popular and accepted moral standards	n
Post-abortion syndrome is not a medically recognized syndrome:	-
Father's should have equal rights as women in abortion.	n
A true member of the Democratic Party, at this time, cannot be anti-abortion	-
There are times both in which abortion should and should not be allowed	y
Rape does not qualify abortion; it is not the child's fault; abortion is still murder.	n
Debate Mash-up Challenge: If an unborn child is gay, abortion should be illegal	-
Resolved: A just society ought to ban abortion	n
if both mother and baby can be saved when mom's life is at risk... abortion should not be allowed	n
abortion is not legal murder.	y
It is wrong to consider abortion a tool in crime prevention	-
There is no room for movement in the abortion debate.	-
Public opinion in the UK is in favour of extending abortion rights not reducing them	y
In some cases, abortion can be ruled as a justifiable homicide.	-
The government should not regulate abortion	y
Late term abortion is morally correct in every situation	y
Death penalty kills guilty life, abortion kills innocents..Pro believes in death penalty not abortio	n
The government Should not bother with abortion	-
If abortion in self-defense is OK, a fetus cannot have a general right to life	y
If personhood accrues at birth, then abortion after inducing birth is wrong	n
Non-late term abortion should remain legal	y
Risk-taking and disorders lead to abortions; not the opposite	-
Women review cancer ultrasounds; should for abortions too.	-
Emergency contraception is a form of abortion. It works by preventing a fertilised egg - fertilisat...	-
if both healthy baby and mother can be saved, abortion should not be allowed	n
Men should not have the ultimate decision in abortion.	-
If abortion was illegal women should be punished	-
The scale of abortions makes state intervention compelling	-
A virgin should not be allowed to have an opinion on abortion.	-
a pregnant woman shouldnt always have the right to an abortion	n
It is possible to oppose abortion without using religion.	-
Poor women are disproportionately deprived choice when abortion is illegal.	y
Safe legal choice to have an abortion	y
The Life at Conception Act would effectively negate the constitutional right to abortion	-
Is abortion a violation of a humans rights and freedoms	n
The basic defense of bieng pro life abortion is a contradiction to the defense of the death penalty.	-
Middle class or rich women who get abortions past their first trimester are selfish(see rules below)	n
The abortion of fetuses which do not endanger the mother should be outlawed	n
UK-specific argument: Even though abortion is legal, emergency contraception is not covered by the t...	-
Christian leaders throughout history have been opposed to abortion	-
(plz read carefully, I advocate abortion) To improve abortion laws, Roe v Wade should be repealed.	-
a pregnant woman shouldn't always have the right to an abortion	n
