,Role,basepk,speechtext,summary,stance
3952,Government,3969402,"it is my pleasure to report on the success of Fredericton-York-Sunbury's latest public consultation meeting held last Sunday. Over 100 participants gathered to debate gender related issues ranging from housing and child care to abortion and same sex spousal benefits.
 This marked the fourth in a series of riding forums since February. The first dealt with health care, the second, national defence and the third, human resources development. I wish to thank my colleagues from Perth-Wellington-Waterloo for participating in the defence forum, from York North for contributing to the HRD debate and from Halifax for input on gender related issues. Thanks also to provincial ministers Russ King,
 Vaughan Blaney and New Brunswick Deputy Premier Marcelle Mersereau for their contributions.
 Canadians want to debate public policy. I am grateful to the more than 40 volunteers and over 400 participants who contributed their time and talent to making this possible in Fredericton-York-Sunbury.","['i am grateful to the more than  volunteers and over  participants who contributed their time and talent to making this possible in fredericton york sunbury ', 'it is my pleasure to report on the success of fredericton york sunburys latest public consultation meeting held last sunday ', 'i wish to thank my colleagues from perth wellington waterloo for participating in the defence forum from york north for contributing to the hrd debate and from halifax for input on gender related issues ']",2
0,Government,3970005,"I commend to the House private member's Bill C-235, an act to amend the Criminal Code relevant to the issue of abortion introduced by the hon. member for Glengarry-Prescott-Russell.
 The purpose of the bill is to make it a criminal offence to require a physician, nurse, staff member or employee of a hospital or health facility to perform or participate in an abortion procedure.
 The bill would also make it a criminal offence to discriminate against any of these persons for refusing to perform or participate in an abortion procedure.
 It is time Parliament exercised its jurisdiction to enact legislation to protect and safeguard the rights and life of a child ventre sa mere, the child within the womb.
 Enact legislation now to guarantee the right to life at all stages from the moment of conception until natural death.","['the bill would also make it a criminal offence to discriminate against any of these persons for refusing to perform or participate in an abortion procedure ', 'it is time parliament exercised its jurisdiction to enact legislation to protect and safeguard the rights and life of a child ventre sa mere the child within the womb ', 'the purpose of the bill is to make it a criminal offence to require a physician nurse staff member or employee of a hospital or health facility to perform or participate in an abortion procedure ']",0
3674,Opposition,3971170,"recent reports confirm that a number of health practitioners have illegally imported and are prescribing the abortion pill RU486.
 The drug's manufacturer has said it will not apply to test and sell the drug in Canada unless specifically invited to do so. The government has been quoted as saying that it never asks companies to make specific drugs available and will not make an exception for the manufacturer of RU486. Nevertheless the drug is in Canada and is being prescribed to women without legal approval.
 Possession and use of illegal drugs are serious criminal offences and for good reason. The health and safety of Canadians depends, to a large degree, on effective and enforced drug legislation. Criminal law dealing with RU486 should be no exception.
 Therefore I call on the Solicitor General to initiate an RCMP investigation into the possession, use and prescription of the illegal drug RU486.","['therefore i call on the solicitor general to initiate an rcmp investigation into the possession use and prescription of the illegal drug  ', 'nevertheless the drug is in canada and is being prescribed to women without legal approval ', 'the government has been quoted as saying that it never asks companies to make specific drugs available and will not make an exception for the manufacturer of  ']",2
254,Opposition,4007320,"the Canadian medicare system needs an overhaul. We Reformers believe the best way to overhaul a system is through respecting provincial jurisdiction and granting provinces and Canadians choice and flexibility.
 With an Ottawa imposed deadline looming over Alberta, it has been reported that the federal government may now be willing to allow private clinics. What happened to the infamous line in the sand the Minister of Health proclaimed in Victoria? Has she decided to erase it? Why the flip-flop?
 Last week in this House the minister stated: ""To date the Canada Health Act has been extremely flexible in allowing for change within different provinces"". If that is true, why the need for deadlines threatening financial penalties? Based on her statement, I would expect the minister to accept Alberta's decision to deinsure tax funding of abortions.
 The minister cannot have it both ways. Either she will allow for genuine choice and flexibility in the health care system that works for all Canadians or she will continue to adhere to an outdated piece of legislation.","['what happened to the infamous line in the sand the minister of health proclaimed in victoria ', 'either she will allow for genuine choice and flexibility in the health care system that works for all canadians or she will continue to adhere to an outdated piece of legislation ', 'if that is true why the need for deadlines threatening financial penalties ']",2
5968,Opposition,4015808,"Canadians are astounded to learn that our human rights commissioner feels it is inappropriate to comment on human rights abuses in China. His tolerance of forced abortions and his inability to pass judgment on the execution of political dissidents show shameful disdain for women's rights, equal rights and human rights.
 We must tell China that this policy is wrong. As Canadian Human Rights Commissioner it is his responsibility to lead, not to follow. He has a moral obligation to help bring about change in areas where the humane treatment of people is rejected. He must do this by showcasing Canada as a model of democratic tolerance, a champion of human rights and a defender of the exploited.
 We cannot sit idly by, as women, children and others suffer abuse at the hands of inhumane governments. Instead of resigning himself to indifference, Max Yalden should resign, himself. If he refuses, the government must remove him from office as he clearly lacks the courage to promote and represent Canadian values internationally.","['his tolerance of forced abortions and his inability to pass judgment on the execution of political dissidents show shameful disdain for womens rights equal rights and human rights ', 'he must do this by showcasing canada as a model of democratic tolerance a champion of human rights and a defender of the exploited ', 'we cannot sit idly by as women children and others suffer abuse at the hands of inhumane governments ']",2
6241,Government,4063308,"here are the disturbing facts surrounding the recent sentencing of three convicted rapists in Montreal. Found guilty of gang raping and sodomizing a pregnant teenager, they were sentenced to two years less a day. The court was told the men held a 17-year old girl captive for more than 12 hours, repeatedly assaulted her, and at one point dangled her over an apartment balcony to deter her from reporting the incident. One of the rapists was the father of the victim's unborn child, a gruesome circumstance which apparently prompted her to have an abortion.
 In announcing the sentence the judge said the crown attorney's recommendation for prison terms of 10 to 12 years was grossly exaggerated. He also said that while the rapists' actions were deplorable, the victim had no signs of provable violence.
 In my opinion there is no such thing as a non-violent rape. There is no such thing as torture without pain. As parliamentarians—","['the court was told the men held a  year old girl captive for more than  hours repeatedly assaulted her and at one point dangled her over an apartment balcony to deter her from reporting the incident ', 'in announcing the sentence the judge said the crown attorneys recommendation for prison terms of  to  years was grossly exaggerated ', 'one of the rapists was the father of the victims unborn child a gruesome circumstance which apparently prompted her to have an abortion ']",1
2,Opposition,4075226,"a million babies, give or take a few, have lost their lives in the last 10 years. Is parliament horrified? No. Is the media in an uproar for the government to do something? No.
 Thanks to the Supreme Court of Canada and weak-kneed politicians, Canada has been without any restrictions on abortion for 10 years. Not only are there no restrictions when a woman can get an abortion between the time of conception and until the baby emerges alive from the birth canal, but the government has forced taxpayers to pay for the killing of these one million babies.
 I have introduced a motion that would at least put a stop to government funding for abortions, a measure which two-thirds of Canadians support.
 My private members' Motion No. 268 calls for a binding national referendum at the time of the next election to ask whether or not voters are in favour of government funding for medically unnecessary abortions.
 I urge every member who feels strongly about saving the lives of tens of thousands of helpless infants to support this motion and to help me convince the House to make it votable.","['not only are there no restrictions when a woman can get an abortion between the time of conception and until the baby emerges alive from the birth canal but the government has forced taxpayers to pay for the killing of these one million babies ', ' calls for a binding national referendum at the time of the next election to ask whether or not voters are in favour of government funding for medically unnecessary abortions ', 'is the media in an uproar for the government to do something ']",0
3,Opposition,4089090,"it has been 29 years since abortion was legalized in this country. In those days abortion was used only where a mother's life or health was endangered. But today I think it has gone too far, especially when we see taxpayer funded abortions on demand, increased diagnoses of post-abortion trauma, indication of medical linkages to breast cancer, minors given abortion without parental consent and approximately $50 million spent annually on abortion.
 Not everybody in the Reform caucus or across the country agrees with me. That is why the Reform Party's responsible position is to identify abortion as an issue of personal conscience and supports informed debate and giving people a voice through a national referendum. Canadians should be allowed to examine the facts on all sides of the issue.
 In my opinion, women have a right to know about the risks of abortion and taxpayers should know the cost. For me, if it is about choice, let us give women better choices.","['it has been  years since abortion was legalized in this country ', 'that is why the reform partys responsible position is to identify abortion as an issue of personal conscience and supports informed debate and giving people a voice through a national referendum ', 'in those days abortion was used only where a mothers life or health was endangered ']",0
20121,Government,4099715,"October is Women's History Month, an opportunity for Canadians from coast to coast to honour women whose efforts have made a difference in our society.
 One of my constituents, Mrs. Claire Heggtveit of Nepean, is a woman who has dedicated her life and work to the principle of equality.
 Earlier this week Mrs. Heggtveit was one of five women honoured with the 1998 Persons Case Award which recognizes outstanding contributions toward promoting equality for women in Canada.
 As an economist, she was vital in developing a statistical framework during the 1960s and 1970s which aided the federal government in assessing the quality of women's health and socioeconomic status. She also completed a Canadian survey for the United Nations Commission on the Status of Women, the first national focus on family planning, abortion and divorce.
 All Canadians owe a debt of gratitude to women like Mrs. Heggtveit who have helped move this country along the road to true equality.","['as an economist she was vital in developing a statistical framework during the  and  which aided the federal government in assessing the quality of womens health and socioeconomic status ', 'claire heggtveit of nepean is a woman who has dedicated her life and work to the principle of equality ', 'heggtveit was one of five women honoured with the  persons case award which recognizes outstanding contributions toward promoting equality for women in canada ']",2
1,Government,4104828,"in 1948 the World Medical Association adopted a Hippocratic oath to guide the ethical practice of medical doctors. It reads in part:
 I will maintain the utmost respect for human life from the time of conception.
 In the early 1970s medical schools stopped requiring new doctors to take the oath and the Canadian Medical Association code of ethics no longer requires any reference to abortion. The medical profession has abandoned its responsibility for the unborn child and now it is up to Canadians to assume that responsibility.
 Last year there were over 110,000 abortions in Canada with a cost to our health care system of over $10 million. That is over 300 abortions each and every day. It says that each year 110,000 mistakes are made at the expense of all Canadians by those who fail to act responsibly.
 Is it too much to ask Canadians just to be responsible for their actions? We do have a choice and that choice should be made before we act, not after we have failed to act responsibly.","['it says that each year   mistakes are made at the expense of all canadians by those who fail to act responsibly ', 'last year there were over   abortions in canada with a cost to our health care system of over  million ', 'it reads in part i will maintain the utmost respect for human life from the time of conception ']",0
4,Opposition,4109255,"why is it that the rights of a number of a Canadian nurses have been violated? Some of them have been forced out of jobs for choosing not to participate in abortion procedures or acts of euthanasia.
 The rights of freedom of conscience and religion have long been recognized in Canada. So why has this happened to these nurses? Doctors have the right not to participate in abortion procedures and euthanasia, so why not nurses? This is a genuine instance of discrimination.
 I have introduced to the House Bill C-461 and I would ask my hon. colleagues and this House to support it. The purpose of that particular bill is to ensure that health care providers will never be forced to participate against their will in procedures such as abortion or acts of euthanasia.
 Incredibly there are medical personnel in Canada who have been dismissed because the law is not explicit enough in spelling out their conscience rights. This bill would make those rights explicit.","['why is it that the rights of a number of a canadian nurses have been violated ', 'doctors have the right not to participate in abortion procedures and euthanasia so why not nurses ', 'some of them have been forced out of jobs for choosing not to participate in abortion procedures or acts of euthanasia ']",2
15000,Government,4180244,"an editorial in yesterday's National Post applauds President Bush for ending the American Bar Association's role in vetting judicial appointments.
 The National Post says that this is a good thing because the American Bar Association has become overly political. America's top lawyers, according to the National Post , have committed the deadly sins of endorsing employment initiatives for minorities, of endorsing a woman's right to choose an abortion, terrible, according to the National Post , of endorsing federal funding for the arts and of backing Clinton's failed attempt to bring in public health care; dreadful ideas, according to the National Post .
 And if that is not enough, the American Bar Association is further to be condemned for failing to support minimum mandatory sentences and capital punishment.
 Well I guess we know where the National Post sits politically. Firmly and absolutely to the right, the American right. National Post ? Yes.","['americas top lawyers according to the national post have committed the deadly sins of endorsing employment initiatives for minorities of endorsing a womans right to choose an abortion terrible according to the national post of endorsing federal funding for the arts and of backing clintons failed attempt to bring in public health care dreadful ideas according to the national post ', 'the national post says that this is a good thing because the american bar association has become overly political ', 'and if that is not enough the american bar association is further to be condemned for failing to support minimum mandatory sentences and capital punishment ']",2
